Name;Question;Description;Default;Validity;Visibility;Constraint
Barrel;Will the Product Barrel will be used?;Barrel description;;;Barrel &  - Barrel;(Barrel ~ InsertBarrel)
Barrel1_1;Will the Product Barrel1_1 will be used?;Barrel1_1 description;;;Barrel1_1 &  - Barrel1_1;(Barrel1_1 ~ Pipe) & (Barrel1_1 ~ WeldBarrel1_1) & ( - Barrel1_1 ~ Barrel1_1) & (Barrel1_1 ~ PressBarrel1_1) & (Barrel1_1 ~ InsertBarrel1_1) & (Barrel1_1 ~ Barrel)
Barrel1_2;Will the Product Barrel1_2 will be used?;Barrel1_2 description;;;Barrel1_2 &  - Barrel1_2;(Barrel1_2 ~ Pipe) & (Barrel1_2 ~ WeldBarrel1_2) & (Barrel1_2 ~ PressBarrel1_2) & (Barrel1_2 ~ InsertBarrel1_2) & (Barrel1_2 ~ Barrel)
Fork;Will the Product Fork will be used?;Fork description;;;Fork &  - Fork;
Fork3;Will the Product Fork3 will be used?;Fork3 description;;;Fork3 &  - Fork3;( - Fork3 ~ Fork3) & (Fork3 ~ Fork5) & (Fork3 ~ Fork)
Fork4;Will the Product Fork4 will be used?;Fork4 description;;;Fork4 &  - Fork4;( - Fork4 ~ Fork4) & (Fork4 ~ Fork) & (Fork4 ~ Fork5) & (Fork4 ~ InsertFork4)
Fork5;Will the Product Fork5 will be used?;Fork5 description;;;Fork5 &  - Fork5;(Fork5 ~ Fork) & ( - Fork5 ~ Fork5) & (Fork5 ~ InsertFork5)
InsertBarrel;Do you want to install InsertBarrel?;InsertBarrel description;;;InsertBarrel &  - InsertBarrel;(InsertBarrel ~ Barrel)
InsertBarrel1_1;Do you want to install InsertBarrel1_1?;InsertBarrel1_1 description;;;Barrel1_1 & Barrel1_1;(InsertBarrel1_1 ~ InsertBarrel) & (InsertBarrel1_1 ~ Barrel1_1)
InsertBarrel1_2;Do you want to install InsertBarrel1_2?;InsertBarrel1_2 description;;;Barrel1_2 & Barrel1_2;(InsertBarrel1_2 ~ InsertBarrel) & (InsertBarrel1_2 ~ Barrel1_2)
InsertFork3;Do you want to install InsertFork3?;InsertFork3 description;;;Fork3 & Pipe;(InsertFork3 ~ Fork3) & (InsertFork3 ~ Pipe)
InsertFork4;Do you want to install InsertFork4?;InsertFork4 description;;;Fork4 & Fork4;(InsertFork4 ~ Fork4)
InsertFork5;Do you want to install InsertFork5?;InsertFork5 description;;;Fork5 & Fork5;(InsertFork5 ~ Fork5)
InsertJack1;Do you want to install InsertJack1?;InsertJack1 description;;;Jack1 & Jack1;(InsertJack1 ~ Jack1)
InsertLock;Do you want to install InsertLock?;InsertLock description;;;InsertLock &  - InsertLock;(InsertLock ~ Lock)
InsertLock1;Do you want to install InsertLock1?;InsertLock1 description;;;Lock1 & Lock1 &  - InsertLock2 &  - InsertLock3;(InsertLock1 ~ InsertLock) & (InsertLock1 ~  - InsertLock3) & (InsertLock1 ~  - InsertLock2) & (InsertLock1 ~ Lock1)
InsertLock2;Do you want to install InsertLock2?;InsertLock2 description;;;Lock2 & Lock2 &  - InsertLock1 &  - InsertLock3;(InsertLock2 ~ InsertLock) & (InsertLock2 ~  - InsertLock3) & (InsertLock2 ~ Lock2) & (InsertLock2 ~  - InsertLock1)
InsertLock3;Do you want to install InsertLock3?;InsertLock3 description;;;Lock3 & Lock3 &  - InsertLock1 &  - InsertLock2;(InsertLock3 ~ InsertLock) & (InsertLock3 ~  - InsertLock1) & (InsertLock3 ~ Lock3) & (InsertLock3 ~  - InsertLock2)
InsertORing;Do you want to install InsertORing?;InsertORing description;;;O_Ring;(InsertORing ~ O_Ring)
InsertPipe;Do you want to install InsertPipe?;InsertPipe description;;;InsertPipe &  - InsertPipe;(InsertPipe ~ Pipe)
InsertPipe2;Do you want to install InsertPipe2?;InsertPipe2 description;;;Pipe2 & Pipe2 &  - InsertPipe3 &  - InsertPipe8;(InsertPipe2 ~ InsertPipe) & (InsertPipe2 ~  - InsertPipe3) & (InsertPipe2 ~ Pipe2) & (InsertPipe2 ~  - InsertPipe8)
InsertPipe3;Do you want to install InsertPipe3?;InsertPipe3 description;;;Pipe3 & Pipe3 &  - InsertPipe2 &  - InsertPipe8;(InsertPipe3 ~ InsertPipe) & (InsertPipe3 ~  - InsertPipe2) & (InsertPipe3 ~ Pipe3) & (InsertPipe3 ~  - InsertPipe8)
InsertPipe8;Do you want to install InsertPipe8?;InsertPipe8 description;;;Pipe8 & Pipe8 &  - InsertPipe2 &  - InsertPipe3;(InsertPipe8 ~  - InsertPipe3) & (InsertPipe8 ~ Pipe8) & (InsertPipe8 ~ InsertPipe) & (InsertPipe8 ~  - InsertPipe2)
InsertRing1;Do you want to install InsertRing1?;InsertRing1 description;;;Ring1;(InsertRing1 ~ Ring1)
InsertScrew;Do you want to install InsertScrew?;InsertScrew description;;;Screw & Screw;(InsertScrew ~ Screw)
Jack1;Will the Product Jack1 will be used?;Jack1 description;;;Jack1 &  - Jack1;(Jack1 ~ InsertJack1) & (Jack1 ~ Pipe) & ( - Jack1 ~ Jack1)
Lock;Will the Product Lock will be used?;Lock description;;;Lock &  - Lock;(Lock ~ InsertLock) & (Lock ~ Pipe) & ( - Lock ~ Lock)
Lock1;Will the Product Lock1 will be used?;Lock1 description;;;Lock1 &  - Lock1;(Lock1 ~  - Lock2) & (Lock1 ~  - Lock3) & (Lock1 ~ Lock) & (Lock1 ~ WeldLock1) & (Lock1 ~ InsertLock1)
Lock2;Will the Product Lock2 will be used?;Lock2 description;;;Lock2 &  - Lock2;(Lock2 ~  - Lock3) & (Lock2 ~ Lock) & (Lock2 ~  - Lock1) & (Lock2 ~ WeldLock2) & (Lock2 ~ InsertLock2)
Lock3;Will the Product Lock3 will be used?;Lock3 description;;;Lock3 &  - Lock3;(Lock3 ~ Lock) & (Lock3 ~  - Lock2) & (Lock3 ~ WeldLock3) & (Lock3 ~ InsertLock3) & (Lock3 ~  - Lock1)
O_Ring;Will the Product O_Ring will be used?;O_Ring description;;;O_Ring &  - O_Ring;(O_Ring ~ Ring1) & (O_Ring ~ Jack1) & ( - O_Ring ~ O_Ring) & (O_Ring ~ InsertORing)
Pipe;Will the Product Pipe will be used?;Pipe description;;;Pipe &  - Pipe;( - Pipe ~ Pipe) & (Pipe ~ InsertPipe)
Pipe2;Will the Product Pipe2 will be used?;Pipe2 description;;;Pipe2 &  - Pipe2;(Pipe2 ~ InsertPipe2) & (Pipe2 ~  - Pipe3) & (Pipe2 ~ Pipe) & (Pipe2 ~  - Pipe8)
Pipe3;Will the Product Pipe3 will be used?;Pipe3 description;;;Pipe3 &  - Pipe3;(Pipe3 ~ InsertPipe3) & (Pipe3 ~ Pipe) & (Pipe3 ~  - Pipe2) & (Pipe3 ~  - Pipe8)
Pipe8;Will the Product Pipe8 will be used?;Pipe8 description;;;Pipe8 &  - Pipe8;(Pipe8 ~ InsertPipe8) & (Pipe8 ~  - Pipe3) & (Pipe8 ~ Pipe) & (Pipe8 ~  - Pipe2)
PressBarrel;Do you want to install PressBarrel?;PressBarrel description;;;PressBarrel &  - PressBarrel;(PressBarrel ~ Barrel) & (PressBarrel ~ Pipe)
PressBarrel1_1;Do you want to install PressBarrel1_1?;PressBarrel1_1 description;;;Barrel1_1 & InsertBarrel1_1;(PressBarrel1_1 ~ PressBarrel) & (PressBarrel1_1 ~ Barrel1_1)
PressBarrel1_2;Do you want to install PressBarrel1_2?;PressBarrel1_2 description;;;Barrel1_2 & InsertBarrel1_2;(PressBarrel1_2 ~ PressBarrel) & (PressBarrel1_2 ~ Barrel1_2)
PressJack1;Do you want to install PressJack1?;PressJack1 description;;;Jack1 & Pipe & InsertJack1 & InsertPipe;(PressJack1 ~ Pipe) & (PressJack1 ~ Jack1)
PressORing;Do you want to install PressORing?;PressORing description;;;O_Ring & Pipe & Jack1 & Ring1 & InsertORing & PressJack1 & PressRing1 & InsertPipe;(PressORing ~ Ring1) & (PressORing ~ Pipe) & (PressORing ~ O_Ring) & (PressORing ~ Jack1)
PressRing1;Do you want to install PressRing1?;PressRing1 description;;;Ring1 & Jack1 & Pipe & InsertRing1 & PressJack1 & InsertPipe;(PressRing1 ~ Jack1) & (PressRing1 ~ Ring1) & (PressRing1 ~ Pipe)
Ring1;Will the Product Ring1 will be used?;Ring1 description;;;Ring1 &  - Ring1;(Ring1 ~ Pipe) & ( - Ring1 ~ Ring1) & (Ring1 ~ InsertRing1)
Screw;Will the Product Screw will be used?;Screw description;;;Screw &  - Screw;( - Screw ~ Screw) & (Screw ~ InsertScrew) & (Screw ~ Ring1) & (Screw ~ Jack1)
ScrewScrew;Do you want to install ScrewScrew?;ScrewScrew description;;;Screw & Pipe & Jack1 & Ring1 & InsertScrew & PressJack1 & PressRing1;(ScrewScrew ~ Pipe) & (ScrewScrew ~ Ring1) & (ScrewScrew ~ Jack1) & (ScrewScrew ~ Screw)
WeldBarrel;Do you want to install WeldBarrel?;WeldBarrel description;;;WeldBarrel &  - WeldBarrel;(WeldBarrel ~ Barrel) & (WeldBarrel ~ Pipe)
WeldBarrel1_1;Do you want to install WeldBarrel1_1?;WeldBarrel1_1 description;;;Barrel1_1 & PressBarrel1_1;(WeldBarrel1_1 ~ Barrel1_1) & (WeldBarrel1_1 ~ WeldBarrel)
WeldBarrel1_2;Do you want to install WeldBarrel1_2?;WeldBarrel1_2 description;;;Barrel1_2 & PressBarrel1_2;(WeldBarrel1_2 ~ WeldBarrel) & (WeldBarrel1_2 ~ Barrel1_2)
WeldFork3;Do you want to install WeldFork3?;WeldFork3 description;;;Fork3 & Pipe & Fork5 & InsertFork3 & WeldFork5;(WeldFork3 ~ Fork3) & (WeldFork3 ~ Fork5) & (WeldFork3 ~ Pipe)
WeldFork4;Do you want to install WeldFork4?;WeldFork4 description;;;Fork4 & Pipe & Fork5 & InsertFork4 & WeldFork5;(WeldFork4 ~ Fork4) & (WeldFork4 ~ Pipe) & (WeldFork4 ~ Fork5)
WeldFork5;Do you want to install WeldFork5?;WeldFork5 description;;;Fork5 & Pipe & InsertFork5 & InsertPipe;(WeldFork5 ~ Fork5) & (WeldFork5 ~ Pipe)
WeldJack1;Do you want to install WeldJack1?;WeldJack1 description;;;Jack1 & Pipe & PressJack1 & InsertPipe;(WeldJack1 ~ Jack1) & (WeldJack1 ~ Pipe)
WeldLock;Do you want to install WeldLock?;WeldLock description;;;WeldLock &  - WeldLock;(WeldLock ~ Fork4) & (WeldLock ~ Fork3) & (WeldLock ~ Lock) & (WeldLock ~ Pipe)
WeldLock1;Do you want to install WeldLock1?;WeldLock1 description;;;Lock1 & InsertLock1 & WeldFork3 & WeldFork4 &  - WeldLock2 &  - WeldLock3;(WeldLock1 ~ WeldLock) & (WeldLock1 ~ Lock1) & (WeldLock1 ~  - WeldLock2) & (WeldLock1 ~  - WeldLock3)
WeldLock2;Do you want to install WeldLock2?;WeldLock2 description;;;Lock2 & InsertLock2 & WeldFork3 & WeldFork4 &  - WeldLock1 &  - WeldLock3;(WeldLock2 ~ WeldLock) & (WeldLock2 ~ Lock2) & (WeldLock2 ~  - WeldLock1) & (WeldLock2 ~  - WeldLock3)
WeldLock3;Do you want to install WeldLock3?;WeldLock3 description;;;Lock3 & InsertLock3 & WeldFork3 & WeldFork4 &  - WeldLock1 &  - WeldLock2;(WeldLock3 ~ WeldLock) & (WeldLock3 ~ Lock3) & (WeldLock3 ~  - WeldLock1) & (WeldLock3 ~  - WeldLock2)
